Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Pork, roasted, heated, separable lean only, bone-in, rump, ham -- water added, cured",121,3.6,1150,0,8,0.71,250,21.41,0.87,0,70.92,0.84,1,1,1,0,0
"Pork, unheated, separable lean and fat, bone-in, slice, ham and water product, cured",149,9.3,1099,0,8,1.39,205,13.69,2.72,0,71.07,0.85,1,1,1,0,0
"Margarine-like vegetable-oil spread, with added vitamin D, 60% fat, stick/tub/bottle",535,59,785,429,21,0,30,0.6,0,0,38.68,0,0,0,0,1,1
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",132,5.2,69,0,12,1.74,287,19.99,0,0,74.14,0,1,1,1,0,0
"KEEBLER, Dark Chocolate Fudge Stripes Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",479,20,392,2,0,1.7,362,4.5,71.2,3.2,1.82,39.3,0,0,0,1,1
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, tip round, round",189,12,58,0,5,2,329,19.6,0,0,66.1,0,1,0,1,1,0
"Pork, pan-fried, cooked, separable lean and fat, bone-in, blade (chops), loin, fresh",256,17,85,27,48,0.84,318,25.02,0,0,58.01,0,1,0,0,1,0
"Pork, broiled, cooked, bone-in, separable lean only, country-style ribs, loin, fresh",216,12,84,44,61,1.02,370,27.83,0,0,59.98,0,1,0,1,1,0
"Beef, fast fried, cooked, separable lean and fat, rump centre, imported, New Zealand",192,8,55,7,5,2.95,425,30.01,0,0,61.45,0,1,0,1,1,0
"Chicken, original seasoning, rotisserie, cooked, meat only, back, broilers or fryers",205,12,661,0,38,0.97,309,25.34,0,0,61.24,0,1,0,1,1,0
"Chicken, original seasoning, rotisserie, cooked, meat only, wing, broilers or fryers",197,9.5,725,0,32,0.97,322,27.69,0,0,61.13,0,1,0,1,1,0
"MCKEE BAKING, Chocolate Covered, Wafers with Peanut Butter, LITTLE DEBBIE NUTTY BARS",548,33,223,0,0,0,0,8,55.2,0,3,34,0,1,0,1,1
"Beef, braised, cooked, separable lean only, brisket point end, imported, New Zealand",202,7.1,30,7,6,2.78,178,34.51,0,0,58.64,0,1,0,1,1,0
"Potatoes, oven-heated, frozen, salt not added in processing, all types, french fried",172,5.2,32,0,12,0.74,451,2.66,28.71,2.6,61.51,0.28,0,0,1,1,1
"Pork, unheated, separable lean and fat, bone-in, shank, ham and water product, cured",243,20,936,0,6,0.82,215,14.28,1.42,0,61.56,0.86,1,0,1,1,0
"Lamb, braised, cooked, separable lean and fat, boneless, flap, imported, New Zealand",376,33,51,3,8,1.11,182,20.48,0.14,0,47.82,0,1,0,0,1,0
"Beef, braised, cooked, separable lean only, brisket navel end, imported, New Zealand",265,16,39,9,7,1.84,142,29.35,0,0,54.88,0,1,0,0,1,0
"KFC, skin and breading removed, meat only, Drumstick, ORIGINAL RECIPE, Fried Chicken",175,7.7,524,0,16,1.04,273,26.3,0.11,0,63.77,0,1,0,1,1,0
"Beef, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",268,18,49,4,13,2.24,265,25.85,0,0,55.96,0,1,0,0,1,0
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",302,19,50,13,17,2.53,242,30.12,0,0,50.45,0,1,0,0,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",246,16,86,4,7,3.07,351,24.66,1.53,0,57.18,0,1,1,1,1,0
"Duck, braised, cooked without skin, bone in, meat only, leg, White Pekin, domesticated, young duckling",178,6,108,0,10,2.33,0,29.1,0,0,64.6,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",277,20,71,5,16,2.45,325,24.98,0,0,55.22,0,1,1,0,1,0
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",192,8.5,59,3,6,2.34,318,28.98,0,0,62.56,0,1,1,1,1,0
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",338,27,64,0,10,2.19,309,21.55,0,0,48.74,0,1,0,0,1,0
"Duck, broiled, cooked without skin, boneless, meat only, breast, White Pekin, domesticated, young duckling",140,2.5,105,0,9,4.49,0,27.6,0,0,68.25,0,1,1,1,0,0
"Lamb, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",271,18,72,0,16,1.93,318,25.51,0,0,55.82,0,1,0,0,1,0
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",137,6,85,4,18,2.18,357,20.61,0,0,72.48,0,1,1,1,0,0
"Beef, raw, separable lean only, boneless, top sirloin cap-off steak/roast, loin, grass-fed, imported, Australian",122,3.9,60,0,5,2.53,0,21.9,0,0,74.1,0,1,1,1,0,0
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",166,5.2,60,0,5,3.12,368,28.01,0,0,65.76,0,1,1,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",264,18,52,5,14,2.48,265,26.18,0,0,55.99,0,1,1,0,1,0
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",209,11,74,4,16,3.37,306,26.53,0,0,61.06,0,1,1,1,1,0
"Lamb, roasted, cooked, trimmed to 0"" fat, separable lean and fat, bone-in, denuded, frenched, roast, rack, fresh, imported, Australian",193,9.9,71,0,7,1.92,227,25.95,0,0,64.15,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",227,14,73,5,13,3.26,310,26.18,0.21,0,59.08,0,1,1,1,1,0
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean and fat, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",276,17,82,0,10,2.37,281,30.9,0,0,51.74,0,1,0,0,1,0
"Lamb, roasted, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, roast, rack, fresh, imported, Australian",175,7.6,72,0,7,1.94,230,26.52,0,0,66.02,0,1,0,1,1,0
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",342,24,52,0,27,2.16,151,29.43,0,0,43.73,0,1,0,0,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",182,7.7,60,0,5,2.79,361,26.3,0,0,64.88,0,1,1,1,1,0
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, heel on, hindshank, leg, fresh, imported, Australian",204,9.5,84,0,6,2,192,29.52,0,0,61.85,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",234,14,44,0,9,2.13,170,25.34,0,0,59.01,0,1,0,1,1,0
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, small end rib steak/roast, rib, Wagyu, imported, Australian",317,28,52,0,4,1.68,0,17.07,0,0,54.63,0,1,1,0,1,0
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean only, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",236,12,85,0,10,2.46,294,33.17,0,0,55.36,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",220,13,73,5,14,3.31,314,26.5,0.14,0,59.72,0,1,1,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",244,15,70,0,11,2.03,309,25.16,0,0,59.65,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, frenched, roast, rack, fresh, imported, Australian",291,21,65,0,7,2.47,228,25.96,0,0,53.33,0,1,0,0,1,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",236,14,73,5,12,3.27,313,26.1,0.4,0,58.12,0,1,1,1,1,0
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",215,12,73,4,16,3.31,301,26.3,0,0,60.52,0,1,1,1,1,0
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, heel on, hindshank, leg, fresh, imported, Australian",174,5.6,86,0,5,2.02,192,30.73,0,0,64.87,0,1,0,1,1,0
"Beef, raw, Aust. marble score 9, separable lean and fat, boneless, small end rib steak/roast, rib, Wagyu, imported, Australian",405,38,57,0,3,1.82,0,14.54,0.42,0,46.27,0,1,1,0,1,0
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",206,14,63,0,4,2.2,0,19.71,0,0,65.2,0,1,1,1,1,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",184,8.1,59,0,5,2.57,342,26.07,0,0,65.02,0,1,1,1,1,0
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",176,6.9,62,0,5,3.23,401,26.66,0,0,64.65,0,1,1,1,1,0
"Pork, raw, separable lean and fat, (includes cuts to be cured), and spareribs, shoulder, loin, composite of trimmed leg, fresh",211,15,57,29,11,0.89,319,18.22,0,0,65.99,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",177,7.2,59,0,5,2.59,356,26.22,0,0,65.65,0,1,0,1,1,0
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",236,15,76,5,18,2.22,308,24.63,0,0,60.3,0,1,0,1,1,0
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin chops, leg, fresh, imported, Australian",235,14,64,0,14,2.34,336,25.75,0,0,59.95,0,1,0,1,1,0
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, small end rib steak/roast, rib, Wagyu, imported, Australian",234,17,58,0,4,1.89,0,20.35,0,0,61.92,0,1,1,1,1,0
"Beef, raw, Aust. marble score 9, separable lean and fat, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",248,19,61,0,4,2.37,0,18.5,0.58,0,60.9,0,1,1,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, whole (shank and sirloin), leg, fresh, imported, Australian",190,8.1,72,0,9,2.15,326,27.31,0,0,64.54,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin half, leg, fresh, imported, Australian",281,19,78,0,15,2.06,297,24.88,0,0,56.2,0,1,0,0,1,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",228,13,73,6,12,3.32,318,26.49,0.28,0,58.83,0,1,1,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, roast, rack, fresh, imported, Australian",244,15,67,0,6,2.63,237,28.01,0,0,57.93,0,1,0,1,1,0
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",289,24,56,0,4,1.69,0,17.67,0.17,0,57.21,0,1,1,0,1,0
"Lamb, grilled, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, frenched, rib chop, fresh, imported, Australian",305,21,79,0,11,2.24,292,28.48,0,0,49.65,0,1,0,0,1,0
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, center slice, leg, fresh, imported, Australian",215,12,65,0,14,2.38,342,25.54,0,0,61.99,0,1,0,1,1,0
"Infant formula, with ARA and DHA, not reconstituted, liquid concentrate, with iron, LIPIL, LACTOFREE, ENFAMIL, MEAD JOHNSON",132,7.1,38,77,104,2.3,140,2.68,14.42,0,75.47,13.96,0,1,1,0,1
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",191,12,64,0,4,2.24,0,20.19,0,0,66.47,0,1,1,1,1,0
"Beef, raw, Aust. marble score 9, separable lean only, boneless, small end rib steak/roast, rib, Wagyu, imported, Australian",330,29,65,0,4,2.14,0,17.61,0.46,0,52.58,0,1,1,0,1,0
"Infant formula, with ARA and DHA, liquid concentrate not reconstituted, with iron, LIPIL, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON",126,6.7,60,64,123,2.28,138,3.53,13.12,0,75.7,9.87,0,1,1,0,1
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, bone-in, frenched, rib chop/rack roast, fresh, imported, Australian",237,17,69,0,7,1.55,189,21.26,0,0,61.86,0,1,0,1,1,0
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",183,8.5,80,5,19,2.47,344,26.65,0,0,64.79,0,1,0,1,1,0
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",172,6.4,58,0,5,2.6,348,26.45,0,0,65.79,0,1,0,1,1,0
"Luncheon meat, 25% less sodium, includes SPAM, added ascorbic acid, reduced sodium, canned, minced, and chicken, ham, pork",293,25,1036,23,0,0.64,564,12.5,3.4,0,55.5,0,1,0,1,1,0
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean only, boneless, sirloin chops, leg, fresh, imported, Australian",188,7.8,66,0,13,2.48,354,27.63,0,0,64.08,0,1,0,1,1,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",181,7.7,60,0,5,2.58,361,26.07,0,0,65.57,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, trotter off, leg, fresh, imported, Australian",226,12,77,0,4,2.41,291,30.15,0.08,0,54.95,0,1,0,1,1,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",270,18,46,0,15,2.08,161,25.26,0,0,54.8,0,1,0,0,1,0
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",229,14,76,4,19,2.16,312,24.86,0,0,61.29,0,1,0,1,1,0
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",241,16,75,5,18,2.28,307,24.47,0,0,59.63,0,1,0,1,1,0
"Cereals, without salt, cooked with water, quick (1-3 minutes), assorted brands including CREAM OF WHEAT, enriched, farina",55,0.3,18,0,97,5.33,23,1.82,10.92,0.8,86.55,0.76,0,1,0,0,1
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, sirloin half, leg, fresh, imported, Australian",215,11,83,0,13,2.24,318,27.75,0,0,62.18,0,1,0,1,1,0
"Cereals, with salt, cooked with water (includes boiling and microwaving), unenriched, regular and quick and instant, oats",71,1.5,71,0,9,0.9,70,2.54,12,1.7,83.61,0.27,0,1,0,0,1
"Beef, raw, Aust. marble score 4/5, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",223,16,61,0,4,1.85,0,20.15,0.2,0,63.07,0,1,1,1,1,0
"Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",237,18,62,0,4,2.41,0,18.87,0.57,0,61.91,0,1,1,1,1,0
"Lamb, grilled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop, fresh, imported, Australian",234,12,85,0,11,2.36,320,32.16,0,0,56.33,0,1,0,1,1,0
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, center slice, leg, fresh, imported, Australian",183,7.7,66,0,13,2.48,354,26.75,0,0,64.85,0,1,0,1,1,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, fresh, imported, Australian",256,17,76,0,17,1.93,301,24.52,0,0,58.71,0,1,0,0,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop/rack roast, fresh, imported, Australian",147,5.6,71,0,7,1.75,209,24.07,0,0,70.48,0,1,1,1,0,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, Australian",215,9.6,80,0,4,2.55,308,32.08,0,0,58.24,0,1,0,1,1,0
"Beverages, without added sodium or vitamin A, aspartame, phosphorus, with added calcium, powder, low calorie, Cocoa mix",359,3,653,0,1440,4.96,2702,25.1,58,1.1,3.4,55.58,0,0,0,1,1
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",182,7.1,58,0,5,2.99,363,27.52,0,0,64.28,0,1,1,1,1,0
"Beef, raw, Aust. marble score 9, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian",331,29,68,0,4,1.71,0,16.92,0.13,0,53.09,0,1,1,0,1,0
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",182,12,76,4,11,2.38,315,18.99,0.36,0,68.11,0,1,1,1,1,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, fresh, imported, Australian",296,22,85,0,28,1.78,288,23.58,0,0,55.31,0,1,0,0,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",232,17,41,0,11,1.54,147,17.95,0,0,64.03,0,1,0,1,1,0
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",190,9.4,79,5,18,2.52,339,26.41,0,0,63.88,0,1,0,1,1,0
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",172,7.1,81,4,20,2.42,351,27.02,0,0,66.16,0,1,0,1,1,0
"Margarine-like shortening, principal use flaky pastries, and soy, cottonseed, soy (partially hydrogenated), industrial",628,71,864,0,0,0,0,0,0,0,28,0,0,0,0,1,1
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip steak, bottom sirloin butt, loin",265,15,72,0,12,3.64,437,29.97,0,0,50.5,0,1,1,0,1,0
"Beverages, vitamin A and vitamin D,  added calcium, Ready-to-drink, flavored and sweetened, reduced fat, milk beverage",77,1.8,49,45,164,0.03,130,3.05,12.08,0.4,82.32,11.4,0,1,0,0,1
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",251,20,42,0,17,1.36,137,17.19,0,0,62,0,1,0,0,1,0
"Fast foods, tomato and sweet onion sauce, sweet onion chicken teriyaki on white bread with lettuce, submarine sandwich",155,2.4,305,1,142,1.52,285,10.91,22.54,1.2,62.4,6.06,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, bottom, leg, fresh, imported, Australian",219,12,69,0,3,2.01,279,27.54,0,0,60.91,0,1,0,1,1,0
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",141,5.9,60,0,4,2.31,355,20.67,0,0,72.51,0,1,1,1,0,0
"Lamb, braised, cooked, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",223,8.8,70,2,15,2.8,260,33.69,0,0,56.23,0,1,0,1,1,0
"Lamb, broiled, cooked, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",186,7.3,76,0,13,2.34,335,28.08,0,0,63.53,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",242,15,89,6,7,3.16,361,26,0.8,0,57.1,0,1,1,1,1,0
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",276,20,66,2,20,1.97,251,22.51,0,0,56.26,0,1,0,0,1,0
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",278,19,78,0,21,2.03,301,24.42,0,0,55.03,0,1,0,0,1,0
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",344,25,75,0,25,2.4,248,28.68,0,0,45.2,0,1,0,0,1,0
"Lamb, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",338,24,74,0,27,2.39,261,29.46,0,0,45.46,0,1,0,0,1,0
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",268,18,82,0,23,1.83,335,23.84,0,0,56.7,0,1,0,0,1,0
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",269,19,66,0,20,1.97,251,22.7,0,0,56.98,0,1,0,0,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",223,11,59,3,14,3.41,366,28.57,0,0,59.98,0,1,1,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, fresh, imported, Australian",229,17,74,0,13,1.43,284,17.84,0,0,64.93,0,1,0,1,1,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",201,9.6,80,0,16,2.05,318,26.71,0,0,63.75,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, tenderloin, fresh, imported, Australian",187,7,61,0,2,2.52,231,30.87,0,0,62.38,0,1,0,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, bone-in, heel on, hindshank, leg, fresh, imported, Australian",196,13,87,0,5,1.47,210,20.58,0,0,67.33,0,1,0,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",201,13,41,0,7,1.6,160,18.76,0,0,67.05,0,1,0,1,1,0
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",291,20,62,6,14,2.68,262,26.7,0,0,52.51,0,1,0,0,1,0
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",242,14,67,0,10,2.02,319,26.2,0,0,58.99,0,1,0,1,1,0
"Lamb, cooked, trimmed to 1/8"" fat, separable lean only, whole (arm and blade), shoulder, fresh, imported, Australian",233,13,91,0,28,1.9,308,26.18,0,0,61.05,0,1,0,1,1,0
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",170,10,77,4,11,2.42,321,19.42,0.49,0,69.19,0,1,1,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",222,13,77,0,6,2.88,322,24.93,0,0,62.04,0,1,1,1,1,0
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",258,16,66,2,11,1.98,313,25.55,0,0,57.48,0,1,0,0,1,0
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",296,21,65,6,16,2.49,247,27.69,0,0,51.91,0,1,0,0,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, fresh, imported, Australian",256,20,76,0,18,1.26,267,16.68,0,0,62.7,0,1,0,0,1,0
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",172,11,76,4,11,2.38,320,19.2,0.09,0,69.3,0,1,1,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",215,15,73,0,10,1.48,295,18.24,0,0,66.33,0,1,0,1,1,0
"Lamb, raw,   trimmed to 1/8"" fat, separable lean only, whole (arm and blade), shoulder, fresh, imported, Australian",155,8,88,0,18,1.42,306,19.36,0,0,72.39,0,1,0,1,1,0
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",198,9.1,54,3,13,2.59,299,29.06,0,0,61.54,0,1,1,1,1,0
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast, loin",170,5.9,57,4,5,2.75,377,29.12,0,0,63.93,0,1,0,1,1,0
"Beef, raw, separable lean and fat, boneless, top sirloin cap-off steak/roast, loin, grass-fed, imported, Australian",127,4.5,59,0,5,2.51,0,21.77,0.01,0,73.65,0,1,1,1,0,0
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",189,12,75,5,11,2.37,312,18.85,0.53,0,67.31,0,1,1,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, bottom, leg, fresh, imported, Australian",190,8.4,70,0,2,2.04,287,28.6,0,0,63.87,0,1,0,1,1,0
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",191,8.3,57,0,5,2.92,361,27.22,0,0,63.35,0,1,1,1,1,0
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin butt, loin",182,8.3,55,0,17,1.69,340,26.75,0,0,64.67,0,1,0,1,1,0
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, tenderloin, fresh, imported, Australian",184,6.7,61,0,2,2.52,231,30.97,0,0,62.62,0,1,0,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, heel on, hindshank, leg, fresh, imported, Australian",122,3.5,93,0,4,1.58,227,22.49,0,0,74.83,0,1,1,1,0,0
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",204,11,68,2,19,2.13,265,24.94,0,0,63.32,0,1,0,1,1,0
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",283,16,79,0,26,2.67,261,32.81,0,0,49.96,0,1,0,0,1,0
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",210,11,83,2,21,2.19,324,27.12,0,0,61.38,0,1,0,1,1,0
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",247,15,50,5,14,2.51,282,26.92,0,0,57.68,0,1,1,1,1,0
"Beef, raw, separable lean and fat, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",129,4.4,59,0,5,2.28,0,22.24,0,0,72.52,0,1,1,1,0,0
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",202,8.4,61,3,14,3.47,376,29.53,0,0,61.74,0,1,1,1,1,0
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",142,6.2,83,0,12,1.59,320,20.25,0,0,73.22,0,1,1,1,0,0
